Date,"Transactions (( Dollar ))","Rate "" Bank """,Ads spending,,,,,,,,,,,,,,
2024-02-18,129.76,30.9,12940,,,,,,,,,,,,,,
2024-02-19,,30.9,3159,,,,,,,,,,,,,,
2024-02-20,,30.9,2983,,,,,,,,,,,,,,
2024-02-21,,30.9,2161,,,,,,,,,,,,,,
2024-02-22,130.34,30.9,5799,,,,,,,,,,,,,,
2024-02-23,130.22,30.9,8379,,,,,,,,,,,,,,
2024-02-24,130.02,30.9,8000,,,,,,,,,,,,,,
2024-02-25,130.02,30.9,14293,,,,,,,,,,,,,,
2024-02-26,130.02,30.9,16672,,,,,,,,,,,,,,
2024-02-27,130.34,30.9,18630,,,,,,,,,,,,,,
2024-02-28,130.16,30.9,17747,,,,,,,,,,,,,,
2024-02-29,571,30.9,29252,,,,,,,,,,,,,,
2024-03-01,174.6,31,20022.54,,,,,,,,,,,,,,
2024-03-02,130,31,16739.22,,,,,,,,,,,,,,
2024-03-03,368,31,22574.04,,,,,,,,,,,,,,
2024-03-04,130,31,15530.52,,,,,,,,,,,,,,
2024-03-05,130.28,31,16487.63,,,,,,,,,,,,,,
2024-03-06,1287,49.45,81663.23,,,,,,,,,,,,,,
2024-03-07,81.14,49.35,22811.699,,,,,,,,,,,,,,
2024-03-08,81.38,49.35,29486.503,,,,,,,,,,,,,,
2024-03-09,81.38,49.35,28826.843,,,,,,,,,,,,,,
2024-03-10,81.3,48.82,25072.296,,,,,,,,,,,,,,
2024-03-11,0,,10605.85,,,,,,,,,,,,,,
2024-03-12,81.96,48.45,13338.872,,,,,,,,,,,,,,
2024-03-13,0,48.45,5647.9,,,,,,,,,,,,,,
2024-03-14,0,48.45,6833.9,,,,,,,,,,,,,,
2024-03-15,0,48.45,6719.78,,,,,,,,,,,,,,
2024-03-16,0,48.45,6464.81,,,,,,,,,,,,,,
2024-03-17,83.77,47.25,11552.1425,,,,,,,,,,,,,,
2024-03-18,0,46.54,101.59,,,,,,,,,,,,,,
2024-03-19,15.99,46.54,847.0546,,,,,,,,,,,,,,
2024-03-20,0,,15102.11,,,,,,,,,,,,,,
2024-03-21,85.64,46.54,4087.0956,,,,,,,,,,,,,,
2024-03-22,0,,2324.83,,,,,,,,,,,,,,
2024-03-23,85.99,47.82,5679.9718,,,,,,,,,,,,,,
2024-03-24,85.99,47.82,19200.8518,,,,,,,,,,,,,,
2024-03-25,408,47.82,19555.11,,,,,,,,,,,,,,
2024-03-26,338,47.39,17856.15,,,,,,,,,,,,,,
2024-03-27,507,47.39,25807.31,,,,,,,,,,,,,,
2024-03-28,660,47.39,31875.05,,,,,,,,,,,,,,
2024-03-29,200,47.39,24478,,,,,,,,,,,,,,
2024-03-30,339,47.25,16017.75,,,,,,,,,,,,,,
2024-03-31,881,47.25,41627.25,,,,,,,,,,,,,,
2024-04-01,214.32,47.41,10161,,,,,,,,,,,,,,
2024-04-02,574.06,47.41,27216,,,,,,,,,,,,,,
2024-04-03,1297.7,47.41,63178,,,,,,,,,,,,,,
2024-04-04,424.52,47.41,20126,,,,,,,,,,,,,,
2024-04-05,571.89,47.41,27113,,,,,,,,,,,,,,
2024-04-06,169.48,47.41,8035,,,,,,,,,,,,,,
2024-04-07,457,48.46,37146,,,,,,,,,,,,,,
2024-04-08,634,48.46,30724,,,,,,,,,,,,,,
2024-04-09,255,48.46,12357,,,,,,,,,,,,,,
2024-04-10,170,48.46,8238,,,,,,,,,,,,,,
2024-04-11,8.49,48.46,411,,,,,,,,,,,,,,
2024-04-12,168.61,48.46,8171,,,,,,,,,,,,,,
2024-04-13,316.42,48.46,15334,,,,,,,,,,,,,,
2024-04-14,168,48.46,8141,,,,,,,,,,,,,,
2024-04-15,84,48.46,4071,,,,,,,,,,,,,,
2024-04-16,310.16,48.46,15030,,,,,,,,,,,,,,
2024-04-17,0,48.46,0,,,,,,,,,,,,,,
2024-04-18,0,48.46,0,,,,,,,,,,,,,,
2024-04-19,311.14,48.46,15078,,,,,,,,,,,,,,
2024-04-20,310.76,48.46,15059,,,,,,,,,,,,,,
2024-04-21,0,48.46,0,,,,,,,,,,,,,,
2024-04-22,311.76,48.46,15108,,,,,,,,,,,,,,
2024-04-23,0,48.46,527,,,,,,,,,,,,,,
2024-04-24,0,48.46,0,,,,,,,,,,,,,,
2024-04-25,313.98,48.46,15215,,,,,,,,,,,,,,
2024-04-26,0,47.55,0,,,,,,,,,,,,,,
2024-04-27,0,47.55,0,,,,,,,,,,,,,,
2024-04-28,0,47.55,0,,,,,,,,,,,,,,
2024-04-29,342.87,47.55,16303,,,,,,,,,,,,,,
2024-04-30,15.67,47.55,745,,,,,,,,,,,,,,
2024-05-01,422.87,47.55,20107,,,,,,,,,,,,,,
2024-05-02,314.28,47.55,14944,,,,,,,,,,,,,,
2024-05-03,708.06,47.55,33668,,,,,,,,,,,,,,
2024-05-04,313.86,47.55,14924,,,,,,,,,,,,,,
2024-05-05,0,47.55,0,,,,,,,,,,,,,,
2024-05-06,629.36,47.55,29926,,,,,,,,,,,,,,
2024-05-07,,47.55,0,,,,,,,,,,,,,,
2024-05-08,632.9,47.55,30094,,,,,,,,,,,,,,
2024-05-09,110.52,47.17,5213,,,,,,,,,,,,,,
2024-05-10,,47.17,0,,,,,,,,,,,,,,
2024-05-11,328.44,47.17,15493,,,,,,,,,,,,,,
2024-05-12,325.81,47.17,15368,,,,,,,,,,,,,,
2024-05-13,456.1,47.17,21514,,,,,,,,,,,,,,
2024-05-14,51.09,46.9,2396,,,,,,,,,,,,,,
2024-05-15,641,46.9,30063,,,,,,,,,,,,,,
2024-05-16,321.77,46.69,15023,,,,,,,,,,,,,,
2024-05-17,321.77,46.69,15023,,,,,,,,,,,,,,
2024-05-18,0,46.69,0,,,,,,,,,,,,,,
2024-05-19,0,46.69,0,,,,,,,,,,,,,,
2024-05-20,320.77,46.69,14977,,,,,,,,,,,,,,
2024-05-21,"1,251.20",47.12,58957,,,,,,,,,,,,,,
2024-05-22,0,47.12,"1,251.20",,,,,,,,,,,,,,
2024-05-23,322.09,47.12,15177,,,,,,,,,,,,,,
2024-05-24,0,47.12,0,,,,,,,,,,,,,,
2024-05-25,318.76,47.12,15020,,,,,,,,,,,,,,
2024-05-26,0,47.12,0,,,,,,,,,,,,,,
2024-05-27,0,47.12,0,,,,,,,,,,,,,,
2024-05-28,0,47.12,0,,,,,,,,,,,,,,
2024-05-29,349.77,47.12,16481,,,,,,,,,,,,,,
2024-05-30,7.42,47.17,350,,,,,,,,,,,,,,
2024-05-31,317.7,47.17,14986,,,,,,,,,,,,,,
2024-06-01,44.32,48.21,2137,,,,,,,,,,,,,,
2024-06-02,306.31,47.53,14559,,,,,,,,,,,,,,
2024-06-03,58.13,47.53,2763,,,,,,,,,,,,,,
2024-06-04,319.75,47.53,15198,,,,,,,,,,,,,,
2024-06-05,317.81,47.53,15106,,,,,,,,,,,,,,
2024-06-06,316.25,47.53,15031,,,,,,,,,,,,,,
2024-06-07,316.25,47.53,15031,,,,,,,,,,,,,,
2024-06-08,39.69,47.53,1886,,,,,,,,,,,,,,
2024-06-09,316.73,47.66,15095,,,,,,,,,,,,,,
2024-06-10,316.73,47.66,15095,,,,,,,,,,,,,,
2024-06-11,8.49,47.66,405,,,,,,,,,,,,,,
2024-06-12,316.2,47.66,15070,,,,,,,,,,,,,,
2024-06-13,316.2,47.66,15070,,,,,,,,,,,,,,
2024-06-14,316.2,47.66,15070,,,,,,,,,,,,,,
2024-06-15,316.2,47.66,15070,,,,,,,,,,,,,,
2024-06-16,315.5,47.66,15037,,,,,,,,,,,,,,
2024-06-17,631,47.66,30073,,,,,,,,,,,,,,
2024-06-18,631,47.66,30073,,,,,,,,,,,,,,
2024-06-19,631,47.66,30073,,,,,,,,,,,,,,
2024-06-20,315.5,47.66,15037,,,,,,,,,,,,,,
2024-06-21,631,47.66,30073,,,,,,,,,,,,,,
2024-06-22,631,47.66,30073,,,,,,,,,,,,,,
2024-06-23,631,47.66,30073,,,,,,,,,,,,,,
2024-06-24,315.5,47.66,15037,,,,,,,,,,,,,,
2024-06-25,311.5,48.21,15017,,,,,,,,,,,,,,
2024-06-26,624.26,48.21,30096,,,,,,,,,,,,,,
2024-06-27,313.46,48.21,15112,,,,,,,,,,,,,,
2024-06-28,29.25,48.21,1410,,,,,,,,,,,,,,
2024-06-29,313.71,48.21,15124,,,,,,,,,,,,,,
2024-06-30,313.71,48.21,15124,,,,,,,,,,,,,,
2024-07-01,7.29,48.21,351,,,,,,,,,,,,,,
2024-07-02,939.98,48.21,45316,,,,,,,,,,,,,,
2024-07-03,0,48.21,0,,,,,,,,,,,,,,
2024-07-04,626,47.94,30010,,,,,,,,,,,,,,
2024-07-05,313.58,47.94,15033,,,,,,,,,,,,,,
2024-07-06,114.88,47.94,5507,,,,,,,,,,,,,,
2024-07-07,0,48.02,0,,,,,,,,,,,,,,
2024-07-08,626,48.02,30061,,,,,,,,,,,,,,
2024-07-09,0,48.02,0,,,,,,,,,,,,,,
2024-07-10,313.27,48.02,15043,,,,,,,,,,,,,,
2024-07-11,313.9,47.96,15055,,,,,,,,,,,,,,
2024-07-12,634,47.98,30419,,,,,,,,,,,,,,
2024-07-13,313.48,47.98,15041,,,,,,,,,,,,,,
2024-07-14,313.53,48.21,15115,,,,,,,,,,,,,,
2024-07-15,313.53,48.21,15115,,,,,,,,,,,,,,
2024-07-16,0,48.21,0,,,,,,,,,,,,,,
2024-07-17,313.28,48.21,15103,,,,,,,,,,,,,,
2024-07-18,314.16,48.22,15149,,,,,,,,,,,,,,
2024-07-19,626,48.22,30186,,,,,,,,,,,,,,
2024-07-20,312.78,48.22,15082,,,,,,,,,,,,,,
2024-07-21,1745,48.22,84144,,,,,,,,,,,,,,
2024-07-22,1120.8,48.38,54224,,,,,,,,,,,,,,
2024-07-23,311.93,48.38,15091,,,,,,,,,,,,,,
2024-07-24,311.22,48.26,15019,,,,,,,,,,,,,,
2024-07-25,310.22,48.26,14971,,,,,,,,,,,,,,
2024-07-26,311.22,48.26,15019,,,,,,,,,,,,,,
2024-07-27,311.22,48.26,15019,,,,,,,,,,,,,,
2024-07-28,311.22,48.26,15019,,,,,,,,,,,,,,
2024-07-29,340,48.26,16408,,,,,,,,,,,,,,
2024-07-30,623,48.54,30240,,,,,,,,,,,,,,
2024-07-31,630,48.54,30580,,,,,,,,,,,,,,
2024-08-01,602.75,48.69,29348,,,,,,,,,,,,,,
2024-08-02,664,48.63,32290,,,,,,,,,,,,,,
2024-08-03,309.14,49.24,15222,,,,,,,,,,,,,,
2024-08-04,309.14,49.24,15222,,,,,,,,,,,,,,
2024-08-05,309.21,49.24,15226,,,,,,,,,,,,,,
2024-08-06,315.34,49.24,15527,,,,,,,,,,,,,,
2024-08-07,622,49.24,30627,,,,,,,,,,,,,,
2024-08-08,611,49.28,30110,,,,,,,,,,,,,,
2024-08-09,305.57,49.28,15058,,,,,,,,,,,,,,
2024-08-10,611,49.28,30110,,,,,,,,,,,,,,
2024-08-11,620,49.28,30554,,,,,,,,,,,,,,
2024-08-12,915,49.43,45228,,,,,,,,,,,,,,
2024-08-13,304.83,49.43,15068,,,,,,,,,,,,,,
2024-08-14,305.83,48.86,14943,,,,,,,,,,,,,,
2024-08-15,304.83,48.86,14894,,,,,,,,,,,,,,
2024-08-16,615,48.86,30049,,,,,,,,,,,,,,
2024-08-17,615,48.86,30049,,,,,,,,,,,,,,
2024-08-18,,48.86,0,,,,,,,,,,,,,,
2024-08-19,307.67,48.78,15008,,,,,,,,,,,,,,
2024-08-20,308.67,48.78,15057,,,,,,,,,,,,,,
2024-08-21,616,48.78,30048,,,,,,,,,,,,,,
2024-08-22,308.67,48.71,15035,,,,,,,,,,,,,,
2024-08-23,924,48.71,45008,,,,,,,,,,,,,,
2024-08-24,308.67,48.71,15035,,,,,,,,,,,,,,
2024-08-25,308.67,48.71,15035,,,,,,,,,,,,,,
2024-08-26,,48.7,0,,,,,,,,,,,,,,
2024-08-27,617,48.7,30048,,,,,,,,,,,,,,
2024-08-28,35.03,48.56,1701,,,,,,,,,,,,,,
2024-08-29,619,48.56,30059,,,,,,,,,,,,,,
2024-08-30,309.8,48.56,15044,,,,,,,,,,,,,,
2024-08-31,925,48.56,44918,,,,,,,,,,,,,,
2024-09-01,308.52,48.57,14985,,,,,,,,,,,,,,
2024-09-02,359,48.57,17437,,,,,,,,,,,,,,
2024-09-03,310.77,48.57,15094,,,,,,,,,,,,,,
2024-09-04,621,48.57,30162,,,,,,,,,,,,,,
2024-09-05,310.77,48.57,15094,,,,,,,,,,,,,,
2024-09-06,932,48.57,45267,,,,,,,,,,,,,,
2024-09-07,325,48.4,15730,,,,,,,,,,,,,,
2024-09-08,310.6,48.4,15033,,,,,,,,,,,,,,
2024-09-09,0,48.4,0,,,,,,,,,,,,,,
2024-09-10,872,48.4,42205,,,,,,,,,,,,,,
2024-09-11,1060,48.4,51304,,,,,,,,,,,,,,
2024-09-12,630,48.35,30461,,,,,,,,,,,,,,
2024-09-13,933,48.35,45111,,,,,,,,,,,,,,
2024-09-14,622,48.35,30074,,,,,,,,,,,,,,
2024-09-15,622,48.35,30074,,,,,,,,,,,,,,
2024-09-16,310.6,48.35,15018,,,,,,,,,,,,,,
2024-09-17,0,48.52,0,,,,,,,,,,,,,,
2024-09-18,2155,48.45,104410,,,,,,,,,,,,,,
2024-09-19,621,48.45,30087,,,,,,,,,,,,,,
2024-09-20,621,48.45,30087,,,,,,,,,,,,,,
2024-09-21,310.6,48.45,15049,,,,,,,,,,,,,,
2024-09-22,658,48.66,32018,,,,,,,,,,,,,,
2024-09-23,309.09,48.66,15040,,,,,,,,,,,,,,
2024-09-24,0,48.55,0,,,,,,,,,,,,,,
2024-09-25,309.44,48.55,15023,,,,,,,,,,,,,,
2024-09-26,576,48.55,27965,,,,,,,,,,,,,,
2024-09-27,310,48.55,15051,,,,,,,,,,,,,,
2024-09-28,35,48.55,1699,,,,,,,,,,,,,,
2024-09-29,1125,48.55,54619,,,,,,,,,,,,,,
2024-09-30,1387,48.27,66950,,,,,,,,,,,,,,
2024-10-01,118,48.37,5708,,,,,,,,,,,,,,
2024-10-02,935,48.37,45226,,,,,,,,,,,,,,
2024-10-03,622,48.37,30086,,,,,,,,,,,,,,
2024-10-04,470,48.38,22739,,,,,,,,,,,,,,
2024-10-05,46.3,48.38,2240,,,,,,,,,,,,,,
2024-10-06,353,48.52,17128,,,,,,,,,,,,,,
2024-10-07,310.85,48.52,15082,,,,,,,,,,,,,,
2024-10-08,310.85,48.52,15082,,,,,,,,,,,,,,
2024-10-09,41.75,48.52,2026,,,,,,,,,,,,,,
2024-10-10,1270,48.52,61620,,,,,,,,,,,,,,
2024-10-11,340.89,48.52,16540,,,,,,,,,,,,,,
2024-10-12,309.8,48.52,15031,,,,,,,,,,,,,,
2024-10-13,309.8,48.52,15031,,,,,,,,,,,,,,
2024-10-14,692,48.59,33624.28,,,,,,,,,,,,,,
2024-10-15,309.11,48.58,15017,,,,,,,,,,,,,,
2024-10-16,724,48.58,35172,,,,,,,,,,,,,,
2024-10-17,,48.59,0,,,,,,,,,,,,,,
2024-10-18,793,48.59,38532,,,,,,,,,,,,,,
2024-10-19,373.23,48.59,18135,,,,,,,,,,,,,,
2024-10-20,654,48.59,31778,,,,,,,,,,,,,,
2024-10-21,425,48.59,20651,,,,,,,,,,,,,,
2024-10-22,177,48.72,8623,,,,,,,,,,,,,,
2024-10-23,951,48.72,46333,,,,,,,,,,,,,,
2024-10-24,0,48.72,0,,,,,,,,,,,,,,
2024-10-25,0,48.72,0,,,,,,,,,,,,,,
2024-10-26,1014,48.72,49402,,,,,,,,,,,,,,
2024-10-27,545.37,48.72,26570.4264,,,,,,,,,,,,,,
2024-10-28,579,48.7,28197,,,,,,,,,,,,,,
2024-10-29,,48.7,0,,,,,,,,,,,,,,
2024-10-30,1238,38.8,48034,,,,,,,,,,,,,,
2024-10-31,0,38.8,0,,,,,,,,,,,,,,
2024-11-01,1370,48.72,66746,,,,,,,,,,,,,,
2024-11-02,596,48.72,29037,,,,,,,,,,,,,,
2024-11-03,0,49.27,0,,,,,,,,,,,,,,
2024-11-04,0,49.27,0,,,,,,,,,,,,,,
2024-11-05,734.87,49.27,36207,,,,,,,,,,,,,,
2024-11-06,0,49.27,0,,,,,,,,,,,,,,
2024-11-07,2111,49.27,104009,,,,,,,,,,,,,,
2024-11-08,2289,49.2,112619,,,,,,,,,,,,,,
2024-11-09,906,49.2,44575,,,,,,,,,,,,,,
2024-11-10,360,49.2,17712,,,,,,,,,,,,,,
2024-11-11,381.93,49.21,18795,,,,,,,,,,,,,,
2024-11-12,884,49.21,43502,,,,,,,,,,,,,,
2024-11-13,992,49.35,48955,,,,,,,,,,,,,,
2024-11-14,,49.51,0,,,,,,,,,,,,,,
2024-11-15,2075,49.51,102733,,,,,,,,,,,,,,
2024-11-16,564,49.51,27924,,,,,,,,,,,,,,
2024-11-17,615.04,49.51,30451,,,,,,,,,,,,,,
2024-11-18,615.04,49.51,30450.6304,,,,,,,,,,,,,,
2024-11-19,675.25,49.51,33432,,,,,,,,,,,,,,
2024-11-20,,49.56,0,,,,,,,,,,,,,,
2024-11-21,737.99,49.56,36575,,,,,,,,,,,,,,
2024-11-22,1521,49.56,75381,,,,,,,,,,,,,,
2024-11-23,0,49.56,0,,,,,,,,,,,,,,
2024-11-24,814.63,49.56,40373,,,,,,,,,,,,,,
2024-11-25,0,49.66,0,,,,,,,,,,,,,,
2024-11-26,1635,49.66,81194,,,,,,,,,,,,,,
2024-11-27,,49.59,0,,,,,,,,,,,,,,
2024-11-28,34.33,49.57,1702,,,,,,,,,,,,,,
2024-11-29,4389,49.57,217563,,,,,,,,,,,,,,
2024-11-30,1204,49.57,59682,,,,,,,,,,,,,,
2024-12-01,137.3,49.57,6806,,,,,,,,,,,,,,
2024-12-02,2612,49.74,129921,,,,,,,,,,,,,,
2024-12-03,706.25,49.74,35128.875,,,,,,,,,,,,,,
2024-12-04,1368,49.82,68154,,,,,,,,,,,,,,
2024-12-05,588,49.98,29388.24,,,,,,,,,,,,,,
2024-12-06,0,49.98,19075,,,,,,,,,,,,,,
2024-12-07,0,49.98,23313,,,,,,,,,,,,,,
2024-12-08,0,49.98,0,,,,,,,,,,,,,,
2024-12-09,0,49.98,123333,,,,,,,,,,,,,,
2024-12-10,0,49.98,77333,,,,,,,,,,,,,,
2024-12-11,0,49.98,10423,,,,,,,,,,,,,,
2024-12-12,0,49.98,0,,,,,,,,,,,,,,
2024-12-13,0,49.98,82393,,,,,,,,,,,,,,
2024-12-14,0,49.98,12000,,,,,,,,,,,,,,
2024-12-15,0,49.98,72000,,,,,,,,,,,,,,
2024-12-16,0,49.98,5000,,,,,,,,,,,,,,
2024-12-17,0,49.98,12333,,,,,,,,,,,,,,
2024-12-18,0,49.98,78000,,,,,,,,,,,,,,
2024-12-19,0,49.98,21323,,,,,,,,,,,,,,
2024-12-20,0,49.98,16000,,,,,,,,,,,,,,
2024-12-21,0,49.98,3124,,,,,,,,,,,,,,
2024-12-22,0,49.98,30000,,,,,,,,,,,,,,
2024-12-23,0,49.98,21308,,,,,,,,,,,,,,
2024-12-24,0,49.98,0,,,,,,,,,,,,,,
2024-12-25,0,49.98,43123,,,,,,,,,,,,,,
2024-12-26,0,49.98,15261,,,,,,,,,,,,,,
2024-12-27,0,49.98,32132,,,,,,,,,,,,,,
2024-12-28,0,49.98,0,,,,,,,,,,,,,,
2024-12-29,0,49.98,31231,,,,,,,,,,,,,,
2024-12-30,0,49.98,3113,,,,,,,,,,,,,,
2024-12-31,0,49.98,21333,,,,,,,,,,,,,,
2025-01-01,6.94,50.77,352,,,,,,,,,,,,,,
2025-01-02,738.52,50.77,37495,,,,,,,,,,,,,,
2025-01-03,0,50.75,0,,,,,,,,,,,,,,
2025-01-04,677.29,50.75,34372,,,,,,,,,,,,,,
2025-01-05,882.5,50.75,44787,,,,,,,,,,,,,,
2025-01-06,340.63,50.61,17239,,,,,,,,,,,,,,
2025-01-07,111.48,50.61,5642,,,,,,,,,,,,,,
2025-01-08,730.22,50.61,36956,,,,,,,,,,,,,,
2025-01-09,375.95,50.61,19027,,,,,,,,,,,,,,
2025-01-10,413.77,50.57,20924,,,,,,,,,,,,,,
2025-01-11,0,50.57,0,,,,,,,,,,,,,,
2025-01-12,1.16,50.57,59,,,,,,,,,,,,,,
2025-01-13,454.8,50.57,22999,,,,,,,,,,,,,,
2025-01-14,8.49,50.38,427.7262,,,,,,,,,,,,,,
2025-01-15,501.5,50.38,25266,,,,,,,,,,,,,,
2025-01-16,0,50.22,0,,,,,,,,,,,,,,
2025-01-17,552.69,50.22,27756,,,,,,,,,,,,,,
2025-01-18,0,50.27,0,,,,,,,,,,,,,,
2025-01-19,0,50.27,0,,,,,,,,,,,,,,
2025-01-20,1022.99,50.27,51426,,,,,,,,,,,,,,
2025-01-21,669.17,50.31,33666,,,,,,,,,,,,,,
2025-01-22,8.3,50.31,418,,,,,,,,,,,,,,
2025-01-23,735.95,50.24,36974,,,,,,,,,,,,,,
2025-01-24,0,50.24,0,,,,,,,,,,,,,,
2025-01-25,0,50.24,0,,,,,,,,,,,,,,
2025-01-26,416.12,50.24,20906,,,,,,,,,,,,,,
2025-01-27,729.12,50.22,36616,,,,,,,,,,,,,,
2025-01-28,809.87,50.22,40672,,,,,,,,,,,,,,
2025-01-29,402.09,50.22,20193,,,,,,,,,,,,,,
2025-01-30,0,50.35,0,,,,,,,,,,,,,,
2025-01-31,14.07,50.35,708,,,,,,,,,,,,,,
2025-02-01,62.42,50.35,"3,143 ",,,,,,,,,,,,,,
2025-02-02,47.16,50.35,"2,375 ",,,,,,,,,,,,,,
2025-02-03,457.85,50.35,"23,053 ",,,,,,,,,,,,,,
2025-02-04,891.61,50.35,"44,893 ",,,,,,,,,,,,,,
2025-02-05,0,,0 ,,,,,,,,,,,,,,
2025-02-06,220.32,50.26,"11,073 ",,,,,,,,,,,,,,
2025-02-07,503.14,50.26,"25,288 ",,,,,,,,,,,,,,
2025-02-08,0,,0 ,,,,,,,,,,,,,,
2025-02-09,0,50.27,0 ,,,,,,,,,,,,,,
2025-02-10,208.58,50.27,"10,485 ",,,,,,,,,,,,,,
2025-02-11,553.65,50.65,"28,042 ",,,,,,,,,,,,,,
2025-02-12,0,50.6,0 ,,,,,,,,,,,,,,
2025-02-13,0,50.6,0 ,,,,,,,,,,,,,,
2025-02-14,611.12,50.6,"30,923 ",,,,,,,,,,,,,,
2025-02-15,0,50.6,0 ,,,,,,,,,,,,,,
2025-02-16,0,50.6,0 ,,,,,,,,,,,,,,
2025-02-17,1637.866,50.6,"82,876 ",,,,,,,,,,,,,,
2025-02-18,0,50.55,0 ,,,,,,,,,,,,,,
2025-02-19,0,50.55,0 ,,,,,,,,,,,,,,
2025-02-20,731.91,50.55,"36,998 ",,,,,,,,,,,,,,
2025-02-21,74.06,50.55,"3,744 ",,,,,,,,,,,,,,
2025-02-22,108.3,50.55,"5,475 ",,,,,,,,,,,,,,
2025-02-23,0,50.61,0 ,,,,,,,,,,,,,,
2025-02-24,0,50.61,0 ,,,,,,,,,,,,,,
2025-02-25,0,50.65,0 ,,,,,,,,,,,,,,
2025-02-26,0,50.65,0 ,,,,,,,,,,,,,,
2025-02-27,1178,50.65,"59,666 ",,,,,,,,,,,,,,
2025-02-28,0,50.65,0 ,,,,,,,,,,,,,,
2025-03-01,50.9,50.65,"2,578 ",,,,,,,,,,,,,,
2025-03-02,0,50.65,0 ,,,,,,,,,,,,,,
2025-03-03,0,50.65,0 ,,,,,,,,,,,,,,
2025-03-04,0,50.65,0 ,,,,,,,,,,,,,,
2025-03-05,884.22,50.65,"44,786 ",,,,,,,,,,,,,,
2025-03-06,729.34,50.68,"36,963 ",,,,,,,,,,,,,,
2025-03-07,0,50.66,0 ,,,,,,,,,,,,,,
2025-03-08,0,50.66,0 ,,,,,,,,,,,,,,
2025-03-09,630.19,50.66,"31,925 ",,,,,,,,,,,,,,
2025-03-10,0,50.66,0 ,,,,,,,,,,,,,,
2025-03-11,0,50.66,0 ,,,,,,,,,,,,,,
2025-03-12,0,50.47,0 ,,,,,,,,,,,,,,
2025-03-13,0,50.47,0 ,,,,,,,,,,,,,,
2025-03-14,10.2,50.47,515 ,,,,,,,,,,,,,,
2025-03-15,0,50.57,0 ,,,,,,,,,,,,,,
2025-03-16,0,50.57,0 ,,,,,,,,,,,,,,
2025-03-17,973.08,50.57,"49,209 ",,,,,,,,,,,,,,
2025-03-18,0,50.27,0 ,,,,,,,,,,,,,,
2025-03-19,0,50.27,0 ,,,,,,,,,,,,,,
