Name,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Currency,Subtotal,Shipping,Taxes,Total,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing City,Billing Zip,Billing Province,Billing Country,Shipping City,Shipping Province,Shipping Country,Cancelled at,Payment Method,Refunded Amount,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Duties,Billing Province Name,Shipping Province Name
#MC14040,paid,2022-11-03 14:06:55 +0200,fulfilled,2022-11-01 15:45:48 +0200,EGP,819.98,50,0,869.98,250,Shipping Rate,2022-11-01 10:04:12 +0200,2,Comfort Pillow,159.99,,2019255,TRUE,TRUE,fulfilled,Cairo,'11511,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14040,,,,,,,,,,,,2022-11-01 10:04:12 +0200,1,Face Towels ( 50cm x 100 cm) - 50x100 / Off White,125,0,2017983,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,125,,,,,,,,,,,,,
#MC14040,,,,,,,,,,,,2022-11-01 10:04:12 +0200,1,Face Towels ( 50cm x 100 cm) - 50x100 / Dark grey,125,0,2017983,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14040,,,,,,,,,,,,2022-11-01 10:04:12 +0200,1,Face Towels ( 50cm x 100 cm) - 50x100 / Mint,125,0,2017983,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14040,,,,,,,,,,,,2022-11-01 10:04:12 +0200,1,Face Towels ( 50cm x 100 cm) - 50x100 / Grey,125,0,2017983,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,125,,,,,,,,,,,,,
#MC14040,,,,,,,,,,,,2022-11-01 10:04:12 +0200,1,Face Towels ( 50cm x 100 cm) - 50x100 / Dark Rose,125,0,2017983,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14040,,,,,,,,,,,,2022-11-01 10:04:12 +0200,1,Face Towels ( 50cm x 100 cm) - 50x100 / Coffee,125,0,2017983,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14041,paid,2022-11-02 18:19:47 +0200,fulfilled,2022-11-01 15:45:59 +0200,EGP,819.98,50,0,869.98,0,Shipping Rate,2022-11-01 12:53:31 +0200,1,Bathrobe Jacquard - Free size / Navy,699.99,0,2014451-navy,TRUE,TRUE,fulfilled,Sheikh zayed,'01023299989,SU,EG,Sheikh zayed,SU,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,6th of October,6th of October
#MC14041,,,,,,,,,,,,2022-11-01 12:53:31 +0200,1,Face Towel ( Versace ) - 50x100 / Pink,119.99,,2011284-Pink,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14042,paid,2022-12-22 13:44:26 +0200,fulfilled,2022-11-01 15:47:46 +0200,EGP,1134,0,0,1134,126,,2022-11-01 13:32:50 +0200,1,throw striped coverlet - 240x240 / Sky blue,1000,0,2014453-sky blue,TRUE,TRUE,fulfilled,,,C,EG,,C,EG,,manual,0,HT,Low,shopify_draft_order,0,,,,,,,,,,,,Cairo,Cairo
#MC14042,,,,,,,,,,,,2022-11-01 13:32:50 +0200,1,Bath mat towel ( foot pattern ) size 50x70 - 50x70 / White,130,,2018550,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14042,,,,,,,,,,,,2022-11-01 13:32:50 +0200,1,Bath mat towel ( Versace ) - 50x70 / Grey,130,0,2013086-Grey,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14043,paid,2022-11-02 18:20:19 +0200,fulfilled,2022-11-01 15:46:15 +0200,EGP,1085,0,0,1085,0,Free Shipping,2022-11-01 13:55:57 +0200,1,Kids bed sheet 6pc set ( oriental star design),600,0,2018676-oriental star,TRUE,TRUE,fulfilled,Alexandria,'38,ALX,EG,Alexandria,ALX,EG,,Cash on Delivery (COD),0,,Low,web,0,,,,,,,,,,,,Alexandria,Alexandria
#MC14043,,,,,,,,,,,,2022-11-01 13:55:57 +0200,1,Bed sheet 5pcs set (Grey Flower),485,,2018694-Grey Flower,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14044,paid,2022-11-01 18:46:45 +0200,fulfilled,2022-11-02 16:08:28 +0200,EGP,350,50,0,400,0,Shipping Rate,2022-11-01 18:46:43 +0200,1,Kids Bathrobe (printed) - 2Years / Sky Blue,350,,2014452-sky blue,TRUE,TRUE,fulfilled,West Somid,VILLA13,SU,EG,West Somid,SU,EG,,PayTabs Egypt,0,R2S,Low,web,0,,,,,,,,,,,,6th of October,6th of October
#MC14045,paid,2022-11-06 18:40:25 +0200,fulfilled,2022-11-02 16:08:11 +0200,EGP,399.98,50,0,449.98,0,Shipping Rate,2022-11-01 23:37:45 +0200,2,Lotus Embroidered Hand Towels Set - 30x30 / Beige,199.99,,2022040,TRUE,TRUE,fulfilled,Cairo,VILLA147,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14046,paid,2022-11-06 18:41:26 +0200,fulfilled,2022-11-02 16:07:58 +0200,EGP,855,50,0,905,0,Shipping Rate,2022-11-02 03:12:49 +0200,1,Bath mat towel,100,,2012490,TRUE,TRUE,fulfilled,Cairo,,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14046,,,,,,,,,,,,2022-11-02 03:12:49 +0200,1,Towels set ( 3 pieces ) - Sky blue,350,,2013082-ice blue,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14046,,,,,,,,,,,,2022-11-02 03:12:49 +0200,1,Nano Fiber Feather Pillow,295,,2022435,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14046,,,,,,,,,,,,2022-11-02 03:12:49 +0200,1,Microfiber pillow,110,0,59087,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14047,paid,2022-11-03 14:04:55 +0200,fulfilled,2022-11-02 16:07:46 +0200,EGP,359.98,50,0,409.98,0,Shipping Rate,2022-11-02 07:18:26 +0200,1,Bath mat towel ( foot ) - 50x90 / White,169.99,,2013085-white,TRUE,TRUE,fulfilled,Cairo,'11341,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14047,,,,,,,,,,,,2022-11-02 07:18:26 +0200,2,Hand Towels ( 30cm x 30 cm ) - 30x30 / Pink,35,,2017982,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14047,,,,,,,,,,,,2022-11-02 07:18:26 +0200,1,Face Towel ( Versace ) - 50x100 / Pink,119.99,,2011284-Pink,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14048,paid,2022-11-03 14:04:30 +0200,fulfilled,2022-11-02 16:07:25 +0200,EGP,480,50,0,530,0,Shipping Rate,2022-11-02 07:28:18 +0200,2,Mattress Protector - 120x200 / White,240,0,2013625-white,TRUE,TRUE,fulfilled,Cairo,'5,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14049,paid,2022-11-06 18:40:38 +0200,fulfilled,2022-11-02 16:07:09 +0200,EGP,2179.97,50,0,2229.97,0,Shipping Rate,2022-11-02 08:43:28 +0200,3,Kids Towel ( Disney prints ) - 50x70 / Micky mouse,79.99,0,2012810-Micky mouse,TRUE,TRUE,fulfilled,Cairo,المهندسين,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14049,,,,,,,,,,,,2022-11-02 08:43:28 +0200,2,Percale Fitted Sheet - 100x200 / Off white,330,,2016773-off white,TRUE,TRUE,pending,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14049,,,,,,,,,,,,2022-11-02 08:43:28 +0200,2,Percale Fitted Sheet - 200x200 / Off white,640,0,2016777-off white,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14050,paid,2022-11-06 18:41:46 +0200,fulfilled,2022-11-02 16:06:59 +0200,EGP,304.98,50,0,354.98,0,Shipping Rate,2022-11-02 11:27:21 +0200,1,Kitchen Towel size 50x70 - 50x70 / Light blue,40,,2013084-light blue,TRUE,TRUE,fulfilled,Cairo,'51,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14050,,,,,,,,,,,,2022-11-02 11:27:21 +0200,1,Hand Towels ( 30cm x 30 cm ) - 30x30 / Off White,35,,2017982,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14050,,,,,,,,,,,,2022-11-02 11:27:21 +0200,1,Christmas Towels,150,,2017986-pack,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14050,,,,,,,,,,,,2022-11-02 11:27:21 +0200,2,Kitchen Towel ( fruits & vegetables ) - 45x55 / Teal,39.99,,2011298-Teal,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14051,voided,,fulfilled,2022-11-02 16:06:48 +0200,EGP,1739.98,0,0,1739.98,0,Free Shipping,2022-11-02 12:06:49 +0200,2,Towels set ( 3 pieces ) - Beige,350,,2013082-beige,TRUE,TRUE,fulfilled,القاهرة,'1111,C,EG,القاهرة,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14051,,,,,,,,,,,,2022-11-02 12:06:49 +0200,2,Towels set ( 3 pieces ) - White,350,,2013082-white,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14051,,,,,,,,,,,,2022-11-02 12:06:49 +0200,2,Bath mat towel ( foot ) - 50x90 / White,169.99,,2013085-white,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14052,voided,,unfulfilled,,EGP,405,100,0,505,0,Shipping Rate,2022-11-02 12:18:32 +0200,1,Face Towel 60x120 - 60x120 / Navy,135,,2013822-navy,TRUE,TRUE,pending,بني سويف,'3,BNS,EG,بني سويف,BNS,EG,2022-11-02 12:42:18 +0200,Cash on Delivery (COD),0,,Low,web,0,,,,,,,,,,,,Beni Suef,Beni Suef
#MC14052,,,,,,,,,,,,2022-11-02 12:18:32 +0200,1,Face Towel 60x120 - 60x120 / off white,135,0,2013820-off white,TRUE,TRUE,pending,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14052,,,,,,,,,,,,2022-11-02 12:18:32 +0200,1,Face towel 60x120 - 60x120 / Beige,135,0,2013821 - Beige,TRUE,TRUE,pending,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14053,paid,2022-11-06 18:42:52 +0200,fulfilled,2022-11-02 16:06:33 +0200,EGP,429.99,50,0,479.99,0,Custom,2022-11-02 12:24:35 +0200,2,Bath mat towel ( foot pattern ) size 50x70 - 50x70 / Grey,130,,2018550,TRUE,TRUE,fulfilled,First 6th of October,'3295501,SU,EG,First 6th of October,SU,EG,,Cash on Delivery (COD),0,R2S,Low,shopify_draft_order,0,,,,,,,,,,,,6th of October,6th of October
#MC14053,,,,,,,,,,,,2022-11-02 12:24:35 +0200,1,Bath mat towel ( foot ) - 50x90 / Biege,169.99,,2013085-biege,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14054,paid,2022-11-06 18:23:48 +0200,fulfilled,2022-11-05 16:32:46 +0200,EGP,724.97,50,0,774.97,250,Shipping Rate,2022-11-02 15:59:06 +0200,1,Face Towels ( 50cm x 100 cm) - 50x100 / Coffee,125,0,2017983,TRUE,TRUE,fulfilled,مدينة نصر,شقة٢,C,EG,مدينة نصر,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,125,,,,,,,,,,,,Cairo,Cairo
#MC14054,,,,,,,,,,,,2022-11-02 15:59:06 +0200,1,Face Towels ( 50cm x 100 cm) - 50x100 / Grey,125,0,2017983,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,125,,,,,,,,,,,,,
#MC14054,,,,,,,,,,,,2022-11-02 15:59:06 +0200,1,Face Towels ( 50cm x 100 cm) - 50x100 / Dark Rose,125,0,2017983,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14054,,,,,,,,,,,,2022-11-02 15:59:06 +0200,1,Trifle Jacquard Towel - 70x140 / Off white,199.99,,2017977,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14054,,,,,,,,,,,,2022-11-02 15:59:06 +0200,1,Trifle Jacquard Towel - 70x140 / Silver,199.99,,2017977,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14054,,,,,,,,,,,,2022-11-02 15:59:06 +0200,1,Trifle Jacquard Towel - 70x140 / Dark Rose,199.99,,2017977,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14055,voided,,unfulfilled,,EGP,685,50,0,735,0,Shipping Rate,2022-11-02 17:07:22 +0200,1,MATTRESS TOPPER - 180x200 / White / 7 cm,685,,2012837-white,TRUE,TRUE,pending,الشروق ٢,'11837,C,EG,الشروق ٢,C,EG,2022-11-03 12:56:37 +0200,Cash on Delivery (COD),0,,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14056,paid,2022-11-05 11:37:22 +0200,fulfilled,2022-11-03 16:53:35 +0200,EGP,685,50,0,735,0,Shipping Rate,2022-11-02 19:09:51 +0200,1,MATTRESS TOPPER - 180x200 / White / 7 cm,685,,2012837-white,TRUE,TRUE,fulfilled,sheikh zaye,,SU,EG,sheikh zaye,SU,EG,,Cash on Delivery (COD),0,Nexus,Low,web,0,,,,,,,,,,,,6th of October,6th of October
#MC14057,paid,2022-11-06 18:38:31 +0200,fulfilled,2022-11-03 16:52:34 +0200,EGP,399.99,50,0,449.99,0,Shipping Rate,2022-11-02 19:33:50 +0200,1,Bathrobe ( plain ) - L / Red,399.99,,2011289-Red,TRUE,TRUE,fulfilled,Cairo,'01000227581,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14058,paid,2022-11-06 18:47:12 +0200,fulfilled,2022-11-03 16:53:49 +0200,EGP,2649.94,0,0,2649.94,0,Free Shipping,2022-11-02 20:15:35 +0200,1,Bed sheet set with velvet coverlet - sky blue,950,,2018035,TRUE,TRUE,fulfilled,Cairo,'22,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,Nexus,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14058,,,,,,,,,,,,2022-11-02 20:15:35 +0200,1,Fur cushion - 50X50 / BLACK,149.99,,2009890-BLACK,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14058,,,,,,,,,,,,2022-11-02 20:15:35 +0200,1,Fur cushion - 50X50 / BLACK X WHITE,149.99,,2009890-BLACK X WHITE,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14058,,,,,,,,,,,,2022-11-02 20:15:35 +0200,1,Fur cushion - 50X50 / BROWN,149.99,,2009890-BROWN,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14058,,,,,,,,,,,,2022-11-02 20:15:35 +0200,1,Pillow case 40X160 - EGGPLANT AUBERGINE,69.99,,2008001-W.RED,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14058,,,,,,,,,,,,2022-11-02 20:15:35 +0200,1,Pillow cases (2PCS PACK) - 50X70 / BEIGE,109.99,,2007999-BEIGE,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14058,,,,,,,,,,,,2022-11-02 20:15:35 +0200,1,Pillow case 40X180 - 40X180 / SALMON,79.99,,2008002-CORAL PEACH,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14058,,,,,,,,,,,,2022-11-02 20:15:35 +0200,1,Fur duvet ( Salmon ),990,0,2017207,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14059,paid,2022-11-06 18:39:13 +0200,fulfilled,2022-11-03 16:52:53 +0200,EGP,169.99,50,0,219.99,0,Shipping Rate,2022-11-03 01:06:00 +0200,1,Bath mat towel ( foot ) - 50x90 / White,169.99,,2013085-white,TRUE,TRUE,fulfilled,Cairo,'52,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14060,paid,2022-11-06 18:39:30 +0200,fulfilled,2022-11-03 16:38:52 +0200,EGP,289.98,50,0,339.98,0,Shipping Rate,2022-11-03 02:26:58 +0200,1,Bath mat towel ( foot pattern ) size 50x70 - 50x70 / Royal Blue,130,,2018550,TRUE,TRUE,fulfilled,Cairo,,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14060,,,,,,,,,,,,2022-11-03 02:26:58 +0200,2,Kitchen Towel ( fruits & vegetables ) - 45x55 / Teal,39.99,,2011298-Teal,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14060,,,,,,,,,,,,2022-11-03 02:26:58 +0200,1,Kids Towel set - 30x50 / salmon,80,,2014449-salmon,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14062,paid,2022-11-06 18:26:49 +0200,fulfilled,2022-11-05 16:33:20 +0200,EGP,885,50,0,935,115,Shipping Rate,2022-11-03 10:48:13 +0200,1,Trifle Jacquard Towel - 50x100 / Off white,115,,2017976,TRUE,TRUE,pending,Mohandseen,,GZ,EG,Mohandseen,GZ,EG,,Cash on Delivery (COD),0,R2S,Low,shopify_draft_order,115,,,,,,,,,,,,Giza,Giza
#MC14062,,,,,,,,,,,,2022-11-03 10:48:13 +0200,2,Trifle Jacquard Towel - 50x100 / Dark Orange,115,,2017976,TRUE,TRUE,pending,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14062,,,,,,,,,,,,2022-11-03 10:48:13 +0200,1,T.V Blanket - 180x240 / Sky Blue,250,,2016820,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14062,,,,,,,,,,,,2022-11-03 10:48:13 +0200,3,Face Towel 60x120 - 60x120 / off white,135,0,2013820-off white,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14063,paid,2023-01-24 16:13:39 +0200,fulfilled,2022-11-03 16:54:06 +0200,EGP,900,50,0,950,0,Shipping Rate,2022-11-03 10:57:11 +0200,2,Towels set ( 3 pieces ) - White,350,,2013082-white,TRUE,TRUE,fulfilled,القاهرة,'1111,C,EG,القاهرة,C,EG,,Cash on Delivery (COD),0,"BOSTA, exchange",Low,shopify_draft_order,0,,,,,,,,,,,,Cairo,Cairo
#MC14063,,,,,,,,,,,,2022-11-03 10:57:11 +0200,2,Bath mat towel,100,,2012490,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14064,paid,2022-11-06 19:38:09 +0200,fulfilled,2022-11-03 16:40:03 +0200,EGP,595,50,0,645,230,Shipping Rate,2022-11-03 11:15:47 +0200,1,Face Towel 60x120 - 60x120 / Navy,135,,2013822-navy,TRUE,TRUE,fulfilled,الشروق,'020,C,EG,الشروق,C,EG,,manual,0,R2S,Low,android,0,,,,,,,,,,,,Cairo,Cairo
#MC14064,,,,,,,,,,,,2022-11-03 11:15:47 +0200,2,Trifle Jacquard Towel - 50x100 / Dark Orange,115,,2017976,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14064,,,,,,,,,,,,2022-11-03 11:15:47 +0200,2,Trifle Jacquard Towel - 50x100 / Olive,115,,2017976,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14064,,,,,,,,,,,,2022-11-03 11:15:47 +0200,2,Trifle Jacquard Towel - 50x100 / Dark Rose,115,,2017976,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,230,,,,,,,,,,,,,
#MC14065,paid,2022-11-06 18:38:57 +0200,fulfilled,2022-11-03 16:39:43 +0200,EGP,399.98,50,0,449.98,0,Shipping Rate,2022-11-03 11:44:09 +0200,1,Leave Hand Towels Set - 30x30 / Beige,199.99,,2022039,TRUE,TRUE,fulfilled,Sheikh Zayed,,GZ,EG,Sheikh Zayed,GZ,EG,,manual,0,R2S,Low,android,0,,,,,,,,,,,,Giza,Giza
#MC14065,,,,,,,,,,,,2022-11-03 11:44:09 +0200,1,Lotus Embroidered Hand Towels Set - 30x30 / Beige,199.99,,2022040,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14066,paid,2022-11-06 19:38:41 +0200,fulfilled,2022-11-03 16:39:26 +0200,EGP,600,50,0,650,0,Shipping Rate,2022-11-03 11:58:59 +0200,1,Kids bed sheet 6pcs set ( Waves ),600,,2018681-Wavs,TRUE,TRUE,fulfilled,Cairo,'42,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14067,paid,2022-11-06 18:38:18 +0200,fulfilled,2022-11-03 16:39:12 +0200,EGP,559.96,50,0,609.96,0,Shipping Rate,2022-11-03 12:58:22 +0200,1,Kids Towel ( Disney prints ) - 50x70 / pink elephant,79.99,0,2012810-pink elephant,TRUE,TRUE,fulfilled,Maadi,١١٤٣١,C,EG,Maadi,C,EG,,Cash on Delivery (COD),0,R2S,Low,web,0,,,,,,,,,,,,Cairo,Cairo
#MC14067,,,,,,,,,,,,2022-11-03 12:58:22 +0200,1,Kids Towel ( Disney prints ) - 50x70 / Micky mouse,79.99,0,2012810-Micky mouse,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14067,,,,,,,,,,,,2022-11-03 12:58:22 +0200,2,Bath mat Towel 50x90 - 50x90 / coffee,199.99,,2014450-coffee,TRUE,TRUE,fulfilled,,,,,,,,,,,,,,0,,,,,,,,,,,,,
#MC14068,paid,2022-11-06 18:45:10 +0200,fulfilled,2022-11-05 16:39:19 +0200,EGP,2389.98,0,0,2389.98,119.99,Free Shipping,2022-11-03 14:46:55 +0200,1,Bathrobe Jacquard - Free size / Navy,699.99,0,2014451-navy,TRUE,TRUE,fulfilled,Cairo,'11511,C,EG,Cairo,C,EG,,Cash on Delivery (COD),0,Nexus,Low,web,0,,,,,,,,,,,,Cairo,Cairo
